mode,model,feature,mean_abs_shap,interpretability_method,normalized_feature_importance
multiclass,lightgbm,dst_port,0.9982654856010369,shap,
multiclass,lightgbm,src_port,0.861025252596863,shap,
multiclass,lightgbm,src_ip_bytes,0.6686844186423372,shap,
multiclass,lightgbm,duration,0.6638103910645684,shap,
multiclass,lightgbm,conn_state_REJ,0.4236654574550108,shap,
multiclass,lightgbm,src_bytes,0.4194823739799732,shap,
multiclass,lightgbm,dst_ip_bytes,0.326229866128804,shap,
multiclass,lightgbm,dst_pkts,0.28537725292768207,shap,
multiclass,lightgbm,dst_bytes,0.28400551836764354,shap,
multiclass,lightgbm,src_pkts,0.2576849217010367,shap,
multiclass,lightgbm,proto_tcp,0.21222945711074434,shap,
multiclass,lightgbm,conn_state_SF,0.13068897501441565,shap,
multiclass,lightgbm,conn_state_S0,0.1060790062344038,shap,
multiclass,lightgbm,service_http,0.10588563107857976,shap,
multiclass,lightgbm,dns_RA_F,0.09240752542922456,shap,
multiclass,lightgbm,conn_state_SH,0.08873749838333192,shap,
multiclass,lightgbm,conn_state_S1,0.0864306704283719,shap,
multiclass,lightgbm,conn_state_OTH,0.07917571777054931,shap,
multiclass,lightgbm,proto_udp,0.06234214757767787,shap,
multiclass,lightgbm,dns_rcode_3,0.060592981175342356,shap,
multiclass,lightgbm,dns_qtype,0.05648471933622768,shap,
multiclass,lightgbm,dns_rejected_F,0.04581328745169678,shap,
multiclass,lightgbm,dns_rejected_T,0.04302708532386136,shap,
multiclass,lightgbm,service_-,0.035220001275017274,shap,
multiclass,lightgbm,dns_RD_F,0.025629990346752042,shap,
